2047, 2047, 0, 144, 89
2013, 2081, 0, 144, 89
1978, 2116, 0, 144, 89
1944, 2150, 0, 144, 89
1910, 2184, 0, 144, 89
1875, 2219, 0, 144, 89
1841, 2253, 0, 144, 89
1806, 2288, 0, 144, 89
1772, 2322, 0, 144, 89
1738, 2356, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 0, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1703, 2391, 255, 144, 89
1752, 2391, 255, 144, 89
1802, 2391, 255, 144, 89
1851, 2391, 255, 144, 89
1900, 2391, 255, 144, 89
1949, 2391, 255, 144, 89
1998, 2391, 255, 144, 89
2047, 2391, 255, 144, 89
2096, 2391, 255, 144, 89
2145, 2391, 255, 144, 89
2194, 2391, 255, 144, 89
2243, 2391, 255, 144, 89
2293, 2391, 255, 144, 89
2342, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2391, 255, 144, 89
2391, 2342, 255, 144, 89
2391, 2293, 255, 144, 89
2391, 2243, 255, 144, 89
2391, 2194, 255, 144, 89
2391, 2145, 255, 144, 89
2391, 2096, 255, 144, 89
2391, 2047, 255, 144, 89
2391, 1998, 255, 144, 89
2391, 1949, 255, 144, 89
2391, 1900, 255, 144, 89
2391, 1851, 255, 144, 89
2391, 1802, 255, 144, 89
2391, 1752, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2391, 1703, 255, 144, 89
2342, 1703, 255, 144, 89
2293, 1703, 255, 144, 89
2243, 1703, 255, 144, 89
2194, 1703, 255, 144, 89
2145, 1703, 255, 144, 89
2096, 1703, 255, 144, 89
2047, 1703, 255, 144, 89
1998, 1703, 255, 144, 89
1949, 1703, 255, 144, 89
1900, 1703, 255, 144, 89